,track_name,album,track_id,artist,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Narcolepsia,Yipiyou,6tnl0gz73FCRz2kzWwdUUq,FERNANDOCOSTA,149583,0,0.776,0.607,2,-8.35,1,0.367,0.308,0.0,0.11,0.771,93.85
1,Ansiedad y recuerdos (feat. Prok),Ansiedad y recuerdos (feat. Prok),2xfyNgTzByyuTok5bNNkgH,Denom,168745,0,0.7,0.68,10,-5.783,0,0.316,0.315,0.0,0.12,0.359,89.976
2,#RapSinCorte XXII,"#RapSinCorte, Vol. 2",1ZAM0FSr3tPynTDaGf9e1x,Foyone,146874,0,0.755,0.689,10,-10.986,0,0.354,0.0465,0.0,0.145,0.799,95.845
3,Da Vinci,Da Vinci,0R8jT6yhr9S7J649gc8i21,Ayax y Prok,133140,0,0.619,0.818,1,-6.014,0,0.387,0.504,0.0,0.266,0.609,127.247
4,Malamanera,Malamanera,4YePGWYi0BlfbMMjcN1dr7,FERNANDOCOSTA,182129,0,0.829,0.589,7,-6.824,1,0.255,0.522,0.0,0.12,0.376,91.988
5,Modo Turbio,Modo Turbio,0prUbzY7PrJujuukMXCWbB,Kaze,227584,52,0.815,0.79,5,-8.31,0,0.205,0.0697,0.0,0.122,0.553,127.918
6,Lo Que en Silencio Guardo,Recopilatorio de Temas Inéditos,5ZSHDuhxImgtzSglqEPWJ3,Kaze,165173,50,0.778,0.718,7,-7.264,0,0.303,0.58,0.0,0.12,0.965,93.207
7,Criminal,Rojo y Negro,3QnMBrc2k76OwyZdjbBSwO,Ayax y Prok,193000,0,0.774,0.86,10,-4.484,0,0.325,0.387,0.0,0.237,0.759,91.96
8,#RapSinCorte VII,"#RapSinCorte, Vol. 1",2lnXyKWNAdmegHJamDmEpX,Foyone,163636,0,0.552,0.866,10,-9.619,0,0.323,0.0321,4.65e-06,0.347,0.42,87.891
9,Disasters,La Mazeta,26vUrzxwKJ84IgzefUKYif,Kulto Kultibo,275678,32,0.752,0.765,7,-6.595,1,0.259,0.148,0.0,0.0662,0.732,97.024
10,Quédate,Quédate,2q3pG1FiSmLqVM3DJkLaGJ,Luisaker,145607,0,0.798,0.572,0,-10.863,0,0.225,0.514,0.0,0.0859,0.543,140.05
