,track_name,album,track_id,artist,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Fresas con nata,Fresas con nata,48sq0JdNEbXhQTdAorTzC9,Ayax y Prok,210000,0,0.824,0.617,8,-10.429,1,0.437,0.126,0.0,0.105,0.814,115.899
1,Amén,Pa'l Coche,1PLxoOKyLKqicE5ErhrzkF,Cruz Cafuné,191478,42,0.685,0.48,2,-10.174,0,0.335,0.13,0.0,0.119,0.44,183.973
2,Llórame - Acústico,Llórame (Acústico),1eFx4b7oW6VGtxGBz6aTrW,Zetazen,233453,45,0.537,0.468,6,-8.551,1,0.0606,0.946,0.0,0.098,0.306,102.725
3,Nit salvatge,Nit salvatge,3TwSlfvFPPoz0K1yL1Ujxn,Smoking Souls,259833,40,0.587,0.675,10,-6.734,1,0.0313,8.93e-05,3e-05,0.0984,0.382,109.978
4,Amorfoda,Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,155675,0,0.742,0.432,9,-7.539,0,0.0615,0.984,5.78e-05,0.0796,0.252,148.005
5,Ermitaño,Astola & Raton: El Hombre Caracol,3lzFbNgtkFbxFCFnNR2RpY,Astola,212369,37,0.756,0.543,4,-7.488,0,0.133,0.782,0.0,0.286,0.572,99.947
6,Cóseme,Cóseme,5sCsByfBo3PGK4IHnNDaHk,Beret,198919,0,0.572,0.0434,9,-31.042,1,0.093,0.852,0.0,0.086,0.628,155.833
7,HUMBLE.,DAMN.,7ujx3NYtwO2LkmKGz59mXp,Kendrick Lamar,177000,0,0.906,0.625,1,-6.779,0,0.0903,0.000243,3.23e-05,0.0975,0.423,150.018
8,180,Temerario,2UiSGcM0uHDtrCkDKhrIFe,Itaca Band,225870,38,0.702,0.722,10,-6.406,0,0.0445,0.0187,0.0,0.335,0.722,101.976
9,Underground Kings,Underground Kings,4SYXip1osWjtyHYgLB0YPB,Natos y Waor,162041,0,0.793,0.812,10,-6.989,0,0.188,0.0651,2.55e-05,0.106,0.404,119.97
10,Comiendote a Besos,Con Derecho A...,02FKjeU8CrA2ckppBa5RJg,Rozalén,241986,58,0.585,0.539,0,-5.105,1,0.039,0.603,0.0,0.229,0.5,120.095
11,Desahucio,Cara y cruz,5BruCMljVpEoMoOZkISuVF,Ayax y Prok,205322,0,0.846,0.847,1,-4.42,1,0.248,0.135,0.0,0.0889,0.788,93.034
12,Un Fleje - Wayne Chiquitito Skit,Maracucho Bueno Muere Chiquito,53uSDlON1m3xjFNtU7lHWS,Cruz Cafuné,97456,29,0.664,0.822,8,-5.459,1,0.451,0.0508,0.000541,0.468,0.535,152.117
13,Ya Verás (with Andrés Suárez),Dual,2kqpy5UXO6qhJ3KXSYkq0V,Funambulista,247466,45,0.567,0.625,10,-5.55,1,0.0301,0.167,0.0,0.203,0.309,138.956
14,Eterna força,Cendra i or,4spTl4KIfouK44y8U2xhts,Smoking Souls,226668,33,0.623,0.561,9,-7.22,1,0.0393,0.0121,0.0,0.102,0.257,101.999
15,Cuarteles de Invierno (#magasingle),Cuarteles de Invierno (#magasingle),7eUvn1e7wXWfPOGNjifItz,Vetusta Morla,239482,25,0.472,0.74,9,-5.675,1,0.0341,0.659,3.95e-05,0.104,0.424,169.879
16,Guerrera,Guerrera,3Q6zROQvMXRtR9NYfDpNWL,DELLAFUENTE,208695,61,0.76,0.605,6,-6.122,1,0.052,0.165,0.0,0.185,0.644,115.09
17,Capitán Cobarde,Palabras Del Capitán Cobarde,4bO6qABw4zTcA9mp37Q5uI,Albertucho,239973,36,0.587,0.512,0,-6.658,1,0.0386,0.435,2.51e-06,0.155,0.267,119.948
18,SAD!,?,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,166605,83,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
19,El Tren Huracán,El Tren Huracán,0CouSp6wkZKvAhvY6aLFGe,La Raíz,251715,48,0.704,0.792,2,-8.732,1,0.0513,0.0483,0.0,0.0691,0.58,120.031
20,Dime Quien Ama de Verdad,Inéditos,0GeUyDNaZe5LSvyaYS1boH,Beret,178000,0,0.762,0.407,1,-9.658,1,0.425,0.51,0.0,0.135,0.633,82.062
21,La prueba,Anclas,1nFGiBwxm86hI93MO3wsLI,Gata Cattana,296000,0,0.357,0.66,7,-11.227,0,0.134,0.0553,0.0316,0.104,0.236,139.771
